N   s1         s2         diff       
438 0.30628461 0.30628309 0.00000152 
439 0.30628586 0.30628437 0.00000149 
440 0.30628717 0.30628565 0.00000152 
441 0.30628848 0.30628693 0.00000155 
442 0.30628979 0.30628821 0.00000158 
443 0.30629104 0.30628949 0.00000155 
444 0.30629230 0.30629078 0.00000152 
445 0.30629355 0.30629203 0.00000152 
446 0.30629486 0.30629328 0.00000158 
447 0.30629611 0.30629453 0.00000158 
448 0.30629736 0.30629578 0.00000158 
449 0.30629861 0.30629703 0.00000158 
450 0.30629981 0.30629826 0.00000155 
451 0.30630106 0.30629948 0.00000158 
452 0.30630231 0.30630070 0.00000161 
453 0.30630356 0.30630192 0.00000164 
454 0.30630475 0.30630314 0.00000161 
455 0.30630600 0.30630434 0.00000167 
456 0.30630720 0.30630553 0.00000167 
457 0.30630839 0.30630672 0.00000167 
458 0.30630958 0.30630791 0.00000167 
459 0.30631077 0.30630910 0.00000167 
460 0.30631196 0.30631030 0.00000167 
461 0.30631316 0.30631146 0.00000170 
462 0.30631429 0.30631262 0.00000167 
463 0.30631548 0.30631378 0.00000170 
464 0.30631667 0.30631495 0.00000173 
465 0.30631781 0.30631611 0.00000170 
466 0.30631894 0.30631727 0.00000167 
467 0.30632007 0.30631840 0.00000167 
468 0.30632120 0.30631953 0.00000167 
469 0.30632234 0.30632067 0.00000167 
470 0.30632347 0.30632180 0.00000167 
471 0.30632460 0.30632293 0.00000167 
472 0.30632567 0.30632406 0.00000161 
473 0.30632681 0.30632517 0.00000164 
474 0.30632788 0.30632627 0.00000161 
475 0.30632895 0.30632737 0.00000158 
476 0.30633003 0.30632848 0.00000155 
477 0.30633110 0.30632958 0.00000152 
478 0.30633217 0.30633068 0.00000149 
479 0.30633330 0.30633178 0.00000152 
480 0.30633438 0.30633286 0.00000152 
481 0.30633545 0.30633393 0.00000152 
482 0.30633652 0.30633500 0.00000152 
483 0.30633759 0.30633608 0.00000152 
484 0.30633867 0.30633715 0.00000152 
485 0.30633974 0.30633822 0.00000152 
486 0.30634081 0.30633926 0.00000155 
487 0.30634189 0.30634031 0.00000158 
488 0.30634296 0.30634135 0.00000161 
489 0.30634403 0.30634239 0.00000164 
490 0.30634511 0.30634344 0.00000167 
491 0.30634618 0.30634448 0.00000170 
492 0.30634719 0.30634552 0.00000167 
493 0.30634820 0.30634654 0.00000167 
494 0.30634922 0.30634755 0.00000167 
495 0.30635023 0.30634856 0.00000167 
496 0.30635130 0.30634958 0.00000173 
497 0.30635226 0.30635059 0.00000167 
498 0.30635327 0.30635160 0.00000167 
499 0.30635428 0.30635262 0.00000167 
500 0.30635530 0.30635363 0.00000167 
